title_original,title_clean,active_since_days,duration_seconds,total_views,views_by_day,view_category_quantile,num_chars,num_words,num_punctuation,num_words_uppercase,num_words_lowercase,num_stopwords,avg_word_len,contain_digits,startswith_digits,title_sentiment,title_tokens,title_lemmas,has_question,has_exclamation,uppercase_ratio,capital_count,swear_word_count
SUPER LAZY LIFE HACKS || Cool Hacks To Make Your Life Easier,super lazy life hacks cool hacks to make your life easier,22,623,295614,13437,0,60,12,2,4,0,2,5.0,0,0,0.1444444444444444,"['super', 'lazy', 'life', 'hacks', 'cool', 'hacks', 'to', 'make', 'your', 'life', 'easier']","['super', 'lazy', 'life', 'hack', 'cool', 'hack', 'to', 'make', 'your', 'life', 'easier']",0,0,0.3333333333333333,25,0
YUM! EASY SMART FOOD HACKS || Tasty Recipes For The Whole Family & Ideas To Avoid Fails,yum easy smart food hacks tasty recipes for the whole family ideas to avoid fails,1,739,130544,130544,0,87,17,4,5,0,3,5.117647058823529,0,0,0.0869047619047619,"['yum', 'easy', 'smart', 'food', 'hacks', 'tasty', 'recipes', 'for', 'the', 'whole', 'family', 'ideas', 'to', 'avoid', 'fails']","['yum', 'easy', 'smart', 'food', 'hack', 'tasty', 'recipe', 'for', 'the', 'whole', 'family', 'idea', 'to', 'avoid', 'fails']",0,1,0.29411764705882354,31,0
HELPFUL LIFE HACKS FOR YOUR HOUSE,helpful life hacks for your house,1,960,17834,17834,0,33,6,0,6,0,2,5.5,0,0,0.0,"['helpful', 'life', 'hacks', 'for', 'your', 'house']","['helpful', 'life', 'hack', 'for', 'your', 'house']",0,0,1.0,28,0
USEFUL HACKS FOR YOUR HOME || Simple Tips That Work Extremely Well,useful hacks for your home simple tips that work extremely well,30,833,3128867,104295,3,66,12,2,5,0,3,5.5,0,0,0.0583333333333333,"['useful', 'hacks', 'for', 'your', 'home', 'simple', 'tips', 'that', 'work', 'extremely', 'well']","['useful', 'hack', 'for', 'your', 'home', 'simple', 'tip', 'that', 'work', 'extremely', 'well']",0,0,0.4166666666666667,28,0
ARE YOU A CRAFTY MOM? Amazing Parenting Hacks And Crafts,are you a crafty mom amazing parenting hacks and crafts,15,3600,4210362,280690,3,56,10,1,5,0,4,5.6,0,0,0.5,"['are', 'you', 'a', 'crafty', 'mom', 'amazing', 'parenting', 'hacks', 'and', 'crafts']","['are', 'you', 'a', 'crafty', 'mom', 'amazing', 'parenting', 'hack', 'and', 'craft']",1,0,0.5,21,0
100+ HACKS & GADGETS FOR COOL PARENTS,100 hacks gadgets for cool parents,6,3600,90733,15122,0,37,7,2,5,0,1,5.285714285714286,1,1,0.35,"['100', 'hacks', 'gadgets', 'for', 'cool', 'parents']","['100', 'hack', 'gadget', 'for', 'cool', 'parent']",0,0,0.7142857142857143,26,0
30 BEST HACKS FOR EVERY LIFE SITUATION,30 best hacks for every life situation,60,900,1081439,18023,2,38,7,0,6,0,1,5.428571428571429,1,1,1.0,"['30', 'best', 'hacks', 'for', 'every', 'life', 'situation']","['30', 'best', 'hack', 'for', 'every', 'life', 'situation']",0,0,0.8571428571428571,30,0
KID'S ROOM MAKEOVER IDEAS || Awesome Home Decorating Hacks,kids room makeover ideas awesome home decorating hacks,2,3660,582492,291246,1,58,9,3,4,0,0,6.444444444444445,0,0,1.0,"['kids', 'room', 'makeover', 'ideas', 'awesome', 'home', 'decorating', 'hacks']","['kid', 'room', 'makeover', 'idea', 'awesome', 'home', 'decorating', 'hack']",0,0,0.4444444444444444,25,0
Brilliant Clothing Hacks For Adults and Their Kids,brilliant clothing hacks for adults and their kids,3,900,471701,157233,1,50,8,0,0,1,3,6.25,0,0,0.9,"['brilliant', 'clothing', 'hacks', 'for', 'adults', 'and', 'their', 'kids']","['brilliant', 'clothing', 'hack', 'for', 'adult', 'and', 'their', 'kid']",0,0,0.0,7,0
BRILLIANT LIFE HACKS FOR ANY SITUATION,brilliant life hacks for any situation,90,3600,11175800,124175,4,38,6,0,6,0,2,6.333333333333333,0,0,0.9,"['brilliant', 'life', 'hacks', 'for', 'any', 'situation']","['brilliant', 'life', 'hack', 'for', 'any', 'situation']",0,0,1.0,33,0
OMG! Smart Pet Owners Should See These Gadgets & Hacks,omg smart pet owners should see these gadgets hacks,2,900,169398,84699,0,54,10,2,1,0,2,5.4,0,0,0.2142857142857142,"['omg', 'smart', 'pet', 'owners', 'should', 'see', 'these', 'gadgets', 'hacks']","['omg', 'smart', 'pet', 'owner', 'should', 'see', 'these', 'gadget', 'hack']",0,1,0.1,11,0
CLEVER WAYS TO HIDE YOUR TREASURES || Useful Home Hacks & Tips,clever ways to hide your treasures useful home hacks tips,3,960,179509,59836,0,62,12,3,6,0,2,5.166666666666667,0,0,0.2333333333333333,"['clever', 'ways', 'to', 'hide', 'your', 'treasures', 'useful', 'home', 'hacks', 'tips']","['clever', 'way', 'to', 'hide', 'your', 'treasure', 'useful', 'home', 'hack', 'tip']",0,0,0.5,33,0
SMART GADGETS TO MAKE YOUR LIFE EASIER,smart gadgets to make your life easier,3,711,495602,165200,1,38,7,0,7,0,2,5.428571428571429,0,0,0.2142857142857142,"['smart', 'gadgets', 'to', 'make', 'your', 'life', 'easier']","['smart', 'gadget', 'to', 'make', 'your', 'life', 'easier']",0,0,1.0,32,0
SOAP BUBBLES CHALLENGE with 5-MINUTE CRAFTS #shorts,soap bubbles challenge with 5minute crafts shorts,4,12,335063,83765,0,51,7,2,5,2,1,7.285714285714286,1,0,0.0,"['soap', 'bubbles', 'challenge', 'with', '5minute', 'crafts', 'shorts']","['soap', 'bubble', 'challenge', 'with', '5minute', 'craft', 'short']",0,0,0.7142857142857143,32,0
GENIUS SCHOOL HACKS and TIPS FOR PARENTS,genius school hacks and tips for parents,5,900,1639826,327965,2,40,7,0,6,1,2,5.714285714285714,0,0,0.0,"['genius', 'school', 'hacks', 'and', 'tips', 'for', 'parents']","['genius', 'school', 'hack', 'and', 'tip', 'for', 'parent']",0,0,0.8571428571428571,31,0
LOW-BUDGET ROOM MAKEOVER IDEAS || Smart Repair Hacks & Tricks,lowbudget room makeover ideas smart repair hacks tricks,5,960,441260,88252,0,61,10,4,4,0,0,6.1,0,0,0.2142857142857142,"['lowbudget', 'room', 'makeover', 'ideas', 'smart', 'repair', 'hacks', 'tricks']","['lowbudget', 'room', 'makeover', 'idea', 'smart', 'repair', 'hack', 'trick']",0,0,0.4,30,0
These Awesome Cleaning Hacks Will Blow Your Mind 🤯 #shorts,these awesome cleaning hacks will blow your mind shorts,6,60,425344,70890,0,58,10,1,0,1,3,5.8,0,0,1.0,"['these', 'awesome', 'cleaning', 'hacks', 'will', 'blow', 'your', 'mind', 'shorts']","['these', 'awesome', 'cleaning', 'hack', 'will', 'blow', 'your', 'mind', 'short']",0,0,0.0,8,0
BEST GADGETS FOR SMART PARENTS,best gadgets for smart parents,6,960,125342,20890,0,30,5,0,5,0,1,6.0,0,0,0.6071428571428571,"['best', 'gadgets', 'for', 'smart', 'parents']","['best', 'gadget', 'for', 'smart', 'parent']",0,0,1.0,26,0
Amazing Beauty Ideas & Gadgets You Need To See,amazing beauty ideas gadgets you need to see,7,960,393097,56156,0,46,9,1,0,0,2,5.111111111111111,0,0,0.6000000000000001,"['amazing', 'beauty', 'ideas', 'gadgets', 'you', 'need', 'to', 'see']","['amazing', 'beauty', 'idea', 'gadget', 'you', 'need', 'to', 'see']",0,0,0.0,8,0
MEGA PARENTING COMPILATION || Best DIYs & Hacks For Parents,mega parenting compilation best diys hacks for parents,7,4260,1856595,265227,2,59,10,3,3,0,1,5.9,0,0,1.0,"['mega', 'parenting', 'compilation', 'best', 'diys', 'hacks', 'for', 'parents']","['mega', 'parenting', 'compilation', 'best', 'diys', 'hack', 'for', 'parent']",0,0,0.3,31,0
YUMMY TIKTOK DESSERTS || Recipes You Can Make In 5 Minutes,yummy tiktok desserts recipes you can make in 5 minutes,8,533,480102,60012,1,58,11,2,3,0,3,5.2727272727272725,1,0,0.0,"['yummy', 'tiktok', 'desserts', 'recipes', 'you', 'can', 'make', 'in', '5', 'minutes']","['yummy', 'tiktok', 'dessert', 'recipe', 'you', 'can', 'make', 'in', '5', 'minute']",0,0,0.2727272727272727,25,0
Must-Have Kitchen Gadgets & Hacks To Boost Your Cooking Skills,musthave kitchen gadgets hacks to boost your cooking skills,8,1080,232200,29025,0,62,10,2,0,0,2,6.2,0,0,0.0,"['musthave', 'kitchen', 'gadgets', 'hacks', 'to', 'boost', 'your', 'cooking', 'skills']","['musthave', 'kitchen', 'gadget', 'hack', 'to', 'boost', 'your', 'cooking', 'skill']",0,0,0.0,10,0
WOW! 5-MINUTE CRAFTS CITY GAME 🎮 #shorts,wow 5minute crafts city game shorts,9,18,122390,13598,0,40,7,3,5,1,0,5.714285714285714,1,0,-0.1375,"['wow', '5minute', 'crafts', 'city', 'game', 'shorts']","['wow', '5minute', 'craft', 'city', 'game', 'short']",0,1,0.7142857142857143,23,0
BEST ART HACKS & SCHOOL CRAFTS YOU NEED TO TRY,best art hacks school crafts you need to try,9,3660,1120865,124540,2,46,10,1,9,0,2,4.6,0,0,1.0,"['best', 'art', 'hacks', 'school', 'crafts', 'you', 'need', 'to', 'try']","['best', 'art', 'hack', 'school', 'craft', 'you', 'need', 'to', 'try']",0,0,0.9,36,0
How to Make DALGONA CANDY From SQUID GAME || Easy Desserts & Sweet Hacks,how to make dalgona candy from squid game easy desserts sweet hacks,10,960,377099,37709,0,72,14,3,4,1,3,5.142857142857143,0,0,0.1277777777777777,"['how', 'to', 'make', 'dalgona', 'candy', 'from', 'squid', 'game', 'easy', 'desserts', 'sweet', 'hacks']","['how', 'to', 'make', 'dalgona', 'candy', 'from', 'squid', 'game', 'easy', 'dessert', 'sweet', 'hack']",0,0,0.2857142857142857,28,0
USEFUL HACKS & TRENDY GADGETS Everyone Should See,useful hacks trendy gadgets everyone should see,10,900,615448,61544,1,49,8,1,4,0,1,6.125,0,0,0.4499999999999999,"['useful', 'hacks', 'trendy', 'gadgets', 'everyone', 'should', 'see']","['useful', 'hack', 'trendy', 'gadget', 'everyone', 'should', 'see']",0,0,0.5,27,0
GENIUS OUTDOOR HACKS EVERYONE SHOULD KNOW,genius outdoor hacks everyone should know,10,581,1023475,102347,2,41,6,0,6,0,1,6.833333333333333,0,0,0.0,"['genius', 'outdoor', 'hacks', 'everyone', 'should', 'know']","['genius', 'outdoor', 'hack', 'everyone', 'should', 'know']",0,0,1.0,36,0
PIE FACE CHALLENGE WITH 5-MINUTE CRAFTS #shorts,pie face challenge with 5minute crafts shorts,11,34,15838158,1439832,4,47,7,2,6,1,1,6.714285714285714,1,0,0.0,"['pie', 'face', 'challenge', 'with', '5minute', 'crafts', 'shorts']","['pie', 'face', 'challenge', 'with', '5minute', 'craft', 'short']",0,0,0.8571428571428571,32,0
SURPRISING HACKS FOR ALL OCCASIONS,surprising hacks for all occasions,12,960,363289,30274,0,34,5,0,5,0,2,6.8,0,0,0.7,"['surprising', 'hacks', 'for', 'all', 'occasions']","['surprising', 'hack', 'for', 'all', 'occasion']",0,0,1.0,30,0
"AWESOME HACKS FOR PET OWNERS || Cute DIYs, Fun Toys and Useful Gadgets",awesome hacks for pet owners cute diys fun toys and useful gadgets,12,900,2641000,220083,3,70,13,3,5,1,2,5.384615384615385,0,0,0.525,"['awesome', 'hacks', 'for', 'pet', 'owners', 'cute', 'diys', 'fun', 'toys', 'and', 'useful', 'gadgets']","['awesome', 'hack', 'for', 'pet', 'owner', 'cute', 'diys', 'fun', 'toy', 'and', 'useful', 'gadget']",0,0,0.38461538461538464,32,0
